Event ID,Ticket ID,Ticket Type,Ticket Price,Ticket Availability,Ticket Sales Start Date,Ticket Sales End Date,Attendee Name,Attendee Contact Information,Attendee Age,Attendee Gender,Attendee Location,Check-in Status,Event Name,Event Type,Event Date,Event Time,Event Description,Event Organizer,Event Duration
3,4728,General,5500,314,8/22/2024,9/17/2024,Jamie Bowers,lisa00@example.com,63,Female,Jameston,Not Checked In,Artificial intelligence,Seminar,8/11/2024,2:17:31,Especially will million final maintain course production. Ball happy approach in well sea.,Duke Inc,8
2,5402,Pre Sold,5500,52,8/21/2024,9/13/2024,Susan Lambert,cgardner@example.net,30,Female,Garciachester,Checked In,Machine learning,Workshop,8/4/2024,17:10:10,Method clear way specific seek charge always. Style identify follow admit seven also white.,Fischer-Green,4
1,7892,Pre Sold,4000,354,7/23/2024,8/24/2024,Amanda Cross,tara51@example.org,22,Male,North Staceychester,Checked In,Astral Affair,Conference,8/25/2024,10:24:12,Likely charge admit result recent dog. Although manager staff require democratic.,"Oneal, Colon and White",5
6,7543,General,7500,115,7/29/2024,9/8/2024,Michael Henderson,allenlarry@example.com,42,Male,Lorettaport,Not Checked In,Google IO,Conference,9/17/2024,16:40:27,Score might value surface. Option onto act part run.,"Dominguez, Walters and Cooper",7
4,3799,Pre Sold,5000,500,7/9/2024,9/22/2024,Phillip Beard,monicadavidson@example.net,43,Female,New Brian,Checked In,Victory Dash,Sports,8/19/2024,0:31:51,Red policy red energy day manager. South attention seem close.,Graham-Espinoza,8
7,8298,VIP,7000,431,7/14/2024,9/24/2024,Linda Allen,frederickruiz@example.org,34,Female,South Garyport,Checked In,Mathletes,Workshop,9/17/2024,0:33:27,Human dream to dog woman. Energy cause best feeling guess week improve.,"Blanchard, Montoya and Allen",7
3,8069,Pre Sold,4500,274,7/28/2024,9/11/2024,James Gillespie,qlee@example.net,35,Female,Laurafurt,Not Checked In,Artificial intelligence,Seminar,8/11/2024,2:17:31,Especially will million final maintain course production. Ball happy approach in well sea.,Duke Inc,8
2,6995,Pre Sold,5500,123,8/27/2024,9/8/2024,Samantha Meadows,mooremaria@example.com,23,Male,West Sandrafurt,Not Checked In,Machine learning,Workshop,8/4/2024,17:10:10,Method clear way specific seek charge always. Style identify follow admit seven also white.,Fischer-Green,4
6,2620,Pre Sold,6500,140,8/30/2024,9/20/2024,Nicole Crawford,charlene81@example.net,26,Male,Acostaside,Checked In,Google IO,Conference,9/17/2024,16:40:27,Score might value surface. Option onto act part run.,"Dominguez, Walters and Cooper",7
2,8340,Pre Sold,5500,384,8/21/2024,8/30/2024,Donald Fields,mitchelltara@example.org,50,Male,Port Maureen,Not Checked In,Machine learning,Workshop,8/4/2024,17:10:10,Method clear way specific seek charge always. Style identify follow admit seven also white.,Fischer-Green,4
5,2785,General,3000,410,8/10/2024,8/27/2024,Krystal Watkins,charles87@example.com,26,Female,Lake Nicoleshire,Checked In,Green Fiesta,Concert,8/30/2024,10:20:35,Music already official follow treatment yes. Exactly pressure general break.,White Group,4
1,9386,General,5000,100,8/21/2024,8/26/2024,Christina Bennett,zdiaz@example.org,21,Male,East Wendystad,Checked In,Astral Affair,Conference,8/25/2024,10:24:12,Likely charge admit result recent dog. Although manager staff require democratic.,"Oneal, Colon and White",5
6,6224,General,7500,49,8/26/2024,9/20/2024,Derrick Cohen,hpowers@example.org,27,Male,South Richardview,Not Checked In,Google IO,Conference,9/17/2024,16:40:27,Score might value surface. Option onto act part run.,"Dominguez, Walters and Cooper",7
5,5010,General,3000,418,8/15/2024,9/23/2024,Robert Roberts,cantumegan@example.org,22,Female,Lake Jason,Not Checked In,Green Fiesta,Concert,8/30/2024,10:20:35,Music already official follow treatment yes. Exactly pressure general break.,White Group,4
5,8254,General,3000,59,7/25/2024,9/10/2024,Roger Barker,maryjennings@example.org,48,Female,Lake Meghanport,Checked In,Green Fiesta,Concert,8/30/2024,10:20:35,Music already official follow treatment yes. Exactly pressure general break.,White Group,4
8,8909,Pre Sold,7500,423,7/29/2024,8/23/2024,Anthony Daniel,tallen@example.org,37,Female,South Jonathanton,Checked In,Future Shapers,Seminar,8/11/2024,19:58:35,Rise say every only. Today recognize positive rest protect.,Owens Group,4
2,2990,Pre Sold,5500,492,8/23/2024,9/23/2024,Dr. Laurie Reid,sergio18@example.com,39,Female,Kaylaville,Checked In,Machine learning,Workshop,8/4/2024,17:10:10,Method clear way specific seek charge always. Style identify follow admit seven also white.,Fischer-Green,4
8,3391,General,8500,328,8/14/2024,8/31/2024,Matthew Gordon,lewissteven@example.net,29,Male,West Joanna,Checked In,Future Shapers,Seminar,8/11/2024,19:58:35,Rise say every only. Today recognize positive rest protect.,Owens Group,4
1,5624,Pre Sold,4000,86,8/25/2024,9/16/2024,Amy Garcia,david40@example.org,26,Female,Port Rhonda,Not Checked In,Astral Affair,Conference,8/25/2024,10:24:12,Likely charge admit result recent dog. Although manager staff require democratic.,"Oneal, Colon and White",5
2,6788,VIP,8500,251,8/14/2024,8/25/2024,Steven Porter,jerry34@example.org,60,Female,North William,Checked In,Machine learning,Workshop,8/4/2024,17:10:10,Method clear way specific seek charge always. Style identify follow admit seven also white.,Fischer-Green,4
7,3559,General,4000,408,7/30/2024,9/12/2024,Brandon Johnson,campbellcindy@example.net,42,Female,East Kyle,Checked In,Mathletes,Workshop,9/17/2024,0:33:27,Human dream to dog woman. Energy cause best feeling guess week improve.,"Blanchard, Montoya and Allen",7
4,4787,Pre Sold,5000,417,8/24/2024,8/31/2024,Perry Mathis,cantuteresa@example.org,39,Female,New Brandonburgh,Checked In,Victory Dash,Sports,8/19/2024,0:31:51,Red policy red energy day manager. South attention seem close.,Graham-Espinoza,8
3,7413,Pre Sold,4500,144,7/20/2024,7/30/2024,Dennis Santos,catkins@example.com,32,Female,West Chadport,Not Checked In,Artificial intelligence,Seminar,8/11/2024,2:17:31,Especially will million final maintain course production. Ball happy approach in well sea.,Duke Inc,8
3,5580,General,5500,403,7/10/2024,8/4/2024,Johnathan Richards,emason@example.org,34,Male,West Gordonchester,Not Checked In,Artificial intelligence,Seminar,8/11/2024,2:17:31,Especially will million final maintain course production. Ball happy approach in well sea.,Duke Inc,8
8,8316,General,8500,13,8/19/2024,8/29/2024,Kristina Shaw,gregory38@example.org,43,Female,Glassstad,Checked In,Future Shapers,Seminar,8/11/2024,19:58:35,Rise say every only. Today recognize positive rest protect.,Owens Group,4
4,9359,General,6000,428,7/16/2024,9/9/2024,Keith Whitehead,williamsjason@example.com,33,Male,Rodriguezland,Not Checked In,Victory Dash,Sports,8/19/2024,0:31:51,Red policy red energy day manager. South attention seem close.,Graham-Espinoza,8
6,5006,Pre Sold,6500,432,7/12/2024,7/23/2024,Aaron Wilcox,kimberlyvasquez@example.net,63,Male,Tamaraborough,Not Checked In,Google IO,Conference,9/17/2024,16:40:27,Score might value surface. Option onto act part run.,"Dominguez, Walters and Cooper",7
4,7718,Pre Sold,5000,347,8/1/2024,9/12/2024,Marcus Smith,holly49@example.net,22,Male,Lake Tim,Not Checked In,Victory Dash,Sports,8/19/2024,0:31:51,Red policy red energy day manager. South attention seem close.,Graham-Espinoza,8
2,3052,General,6500,206,8/28/2024,8/30/2024,Jose Carter,victornichols@example.com,32,Male,Wattsberg,Checked In,Machine learning,Workshop,8/4/2024,17:10:10,Method clear way specific seek charge always. Style identify follow admit seven also white.,Fischer-Green,4
3,6260,General,5500,166,7/21/2024,9/27/2024,Tiffany Davis,fvazquez@example.org,61,Male,New Connorstad,Not Checked In,Artificial intelligence,Seminar,8/11/2024,2:17:31,Especially will million final maintain course production. Ball happy approach in well sea.,Duke Inc,8
3,4488,General,5500,430,7/22/2024,8/26/2024,Johnny Zavala,hpacheco@example.org,19,Male,Stephenfort,Checked In,Artificial intelligence,Seminar,8/11/2024,2:17:31,Especially will million final maintain course production. Ball happy approach in well sea.,Duke Inc,8
4,4958,General,6000,495,7/31/2024,9/18/2024,Eric Sharp,dolson@example.org,53,Male,Paulfurt,Not Checked In,Victory Dash,Sports,8/19/2024,0:31:51,Red policy red energy day manager. South attention seem close.,Graham-Espinoza,8
4,8571,General,6000,134,8/29/2024,9/27/2024,Eric Edwards,lewisclaudia@example.net,25,Female,Johnsonbury,Not Checked In,Victory Dash,Sports,8/19/2024,0:31:51,Red policy red energy day manager. South attention seem close.,Graham-Espinoza,8
5,4262,Pre Sold,2000,117,8/21/2024,8/30/2024,Michael Daniels,wendycallahan@example.com,57,Male,Carrside,Checked In,Green Fiesta,Concert,8/30/2024,10:20:35,Music already official follow treatment yes. Exactly pressure general break.,White Group,4
7,8302,VIP,7000,50,7/30/2024,8/17/2024,Andrea Doyle,mikaylacarlson@example.com,18,Male,Millermouth,Not Checked In,Mathletes,Workshop,9/17/2024,0:33:27,Human dream to dog woman. Energy cause best feeling guess week improve.,"Blanchard, Montoya and Allen",7
8,5475,VIP,10000,49,8/9/2024,8/24/2024,Mary Bowman,amymurphy@example.net,18,Male,West Rachelburgh,Checked In,Future Shapers,Seminar,8/11/2024,19:58:35,Rise say every only. Today recognize positive rest protect.,Owens Group,4
8,8256,Pre Sold,7500,266,7/11/2024,7/21/2024,Benjamin Dalton,mhunt@example.com,34,Male,Williamsville,Checked In,Future Shapers,Seminar,8/11/2024,19:58:35,Rise say every only. Today recognize positive rest protect.,Owens Group,4
2,3841,General,6500,355,7/17/2024,8/14/2024,George Peterson,sherriellison@example.net,61,Male,East Brandonville,Checked In,Machine learning,Workshop,8/4/2024,17:10:10,Method clear way specific seek charge always. Style identify follow admit seven also white.,Fischer-Green,4
1,8299,General,5000,257,8/23/2024,9/18/2024,Nathaniel Ferguson,bpage@example.com,38,Male,Karenburgh,Not Checked In,Astral Affair,Conference,8/25/2024,10:24:12,Likely charge admit result recent dog. Although manager staff require democratic.,"Oneal, Colon and White",5
2,5409,General,6500,186,8/23/2024,9/19/2024,Jennifer Thompson,ghart@example.net,20,Female,Ochoatown,Checked In,Machine learning,Workshop,8/4/2024,17:10:10,Method clear way specific seek charge always. Style identify follow admit seven also white.,Fischer-Green,4
4,4322,Pre Sold,5000,463,8/10/2024,8/19/2024,William Ramsey,onelson@example.net,59,Female,Port Lindaside,Not Checked In,Victory Dash,Sports,8/19/2024,0:31:51,Red policy red energy day manager. South attention seem close.,Graham-Espinoza,8
3,5460,General,5500,380,8/18/2024,9/9/2024,Shari Young,jnelson@example.com,62,Female,Anthonyfurt,Checked In,Artificial intelligence,Seminar,8/11/2024,2:17:31,Especially will million final maintain course production. Ball happy approach in well sea.,Duke Inc,8
6,7869,General,7500,80,8/16/2024,9/30/2024,Hailey Singh,danielbolton@example.org,42,Male,Russelltown,Checked In,Google IO,Conference,9/17/2024,16:40:27,Score might value surface. Option onto act part run.,"Dominguez, Walters and Cooper",7
8,8939,VIP,10000,478,8/7/2024,8/8/2024,John Brown,sarah18@example.com,23,Female,Gordonfort,Checked In,Future Shapers,Seminar,8/11/2024,19:58:35,Rise say every only. Today recognize positive rest protect.,Owens Group,4
3,7845,VIP,7500,83,9/2/2024,9/26/2024,Willie Scott,ryan63@example.com,55,Female,East Tiffanyshire,Checked In,Artificial intelligence,Seminar,8/11/2024,2:17:31,Especially will million final maintain course production. Ball happy approach in well sea.,Duke Inc,8
3,6203,Pre Sold,4500,229,7/27/2024,9/27/2024,David Brown,harriscynthia@example.com,56,Female,Lake Jesseberg,Not Checked In,Artificial intelligence,Seminar,8/11/2024,2:17:31,Especially will million final maintain course production. Ball happy approach in well sea.,Duke Inc,8
2,7316,General,6500,450,7/17/2024,9/14/2024,Steven Abbott,pmiller@example.com,69,Female,Leeport,Checked In,Machine learning,Workshop,8/4/2024,17:10:10,Method clear way specific seek charge always. Style identify follow admit seven also white.,Fischer-Green,4
2,8097,Pre Sold,5500,289,8/6/2024,9/16/2024,John Franklin,rwhite@example.net,49,Female,North Stephanie,Checked In,Machine learning,Workshop,8/4/2024,17:10:10,Method clear way specific seek charge always. Style identify follow admit seven also white.,Fischer-Green,4
6,5649,Pre Sold,6500,379,8/2/2024,9/2/2024,Nicole Rivera,michael98@example.org,46,Male,East Krystalborough,Checked In,Google IO,Conference,9/17/2024,16:40:27,Score might value surface. Option onto act part run.,"Dominguez, Walters and Cooper",7
7,8647,General,4000,124,8/4/2024,8/10/2024,Evelyn Ayala,lambrobert@example.net,28,Male,Port Brian,Not Checked In,Mathletes,Workshop,9/17/2024,0:33:27,Human dream to dog woman. Energy cause best feeling guess week improve.,"Blanchard, Montoya and Allen",7
7,6167,General,4000,301,7/17/2024,9/15/2024,Bradley Velez,amywilson@example.net,41,Female,Lake Racheltown,Not Checked In,Mathletes,Workshop,9/17/2024,0:33:27,Human dream to dog woman. Energy cause best feeling guess week improve.,"Blanchard, Montoya and Allen",7
1,6715,General,5000,348,7/31/2024,9/16/2024,Ethan Turner,eromero@example.org,32,Female,Port Thomastown,Checked In,Astral Affair,Conference,8/25/2024,10:24:12,Likely charge admit result recent dog. Although manager staff require democratic.,"Oneal, Colon and White",5
7,4127,General,4000,425,8/8/2024,8/18/2024,Kyle Roth,mdaniels@example.com,59,Female,Gilmorefurt,Checked In,Mathletes,Workshop,9/17/2024,0:33:27,Human dream to dog woman. Energy cause best feeling guess week improve.,"Blanchard, Montoya and Allen",7
5,3953,Pre Sold,2000,277,7/7/2024,7/15/2024,Christina Cruz,gary06@example.com,44,Female,New Jenna,Not Checked In,Green Fiesta,Concert,8/30/2024,10:20:35,Music already official follow treatment yes. Exactly pressure general break.,White Group,4
3,2971,VIP,7500,342,8/19/2024,8/30/2024,Lori Jackson,michaelberry@example.com,25,Male,East Andrebury,Not Checked In,Artificial intelligence,Seminar,8/11/2024,2:17:31,Especially will million final maintain course production. Ball happy approach in well sea.,Duke Inc,8
6,6860,Pre Sold,6500,158,9/1/2024,9/17/2024,Patricia Fuller,martindavid@example.com,68,Female,East Carolyn,Checked In,Google IO,Conference,9/17/2024,16:40:27,Score might value surface. Option onto act part run.,"Dominguez, Walters and Cooper",7
5,8884,VIP,5000,289,8/3/2024,9/20/2024,John Willis,jacksonjames@example.org,52,Male,New Sarahton,Checked In,Green Fiesta,Concert,8/30/2024,10:20:35,Music already official follow treatment yes. Exactly pressure general break.,White Group,4
3,4272,General,5500,195,7/5/2024,7/9/2024,Raymond Peters,rpope@example.org,18,Female,Rittertown,Checked In,Artificial intelligence,Seminar,8/11/2024,2:17:31,Especially will million final maintain course production. Ball happy approach in well sea.,Duke Inc,8
6,7420,VIP,9500,90,7/18/2024,9/30/2024,Betty Nguyen,marshalexis@example.com,55,Female,Ashleymouth,Not Checked In,Google IO,Conference,9/17/2024,16:40:27,Score might value surface. Option onto act part run.,"Dominguez, Walters and Cooper",7
6,6777,General,7500,371,8/6/2024,9/13/2024,Andrew Marquez,samantharoberts@example.org,25,Male,West Justin,Not Checked In,Google IO,Conference,9/17/2024,16:40:27,Score might value surface. Option onto act part run.,"Dominguez, Walters and Cooper",7
8,8884,General,8500,327,7/29/2024,8/14/2024,Monica Mejia,torressteven@example.com,55,Female,East Alyssa,Not Checked In,Future Shapers,Seminar,8/11/2024,19:58:35,Rise say every only. Today recognize positive rest protect.,Owens Group,4
2,3138,General,6500,322,8/15/2024,9/27/2024,Mason Williams,bryanwilliam@example.org,40,Male,Stevenmouth,Checked In,Machine learning,Workshop,8/4/2024,17:10:10,Method clear way specific seek charge always. Style identify follow admit seven also white.,Fischer-Green,4
8,4802,Pre Sold,7500,178,8/9/2024,8/18/2024,Aaron Strong,andrewporter@example.org,61,Male,Lake Katherine,Checked In,Future Shapers,Seminar,8/11/2024,19:58:35,Rise say every only. Today recognize positive rest protect.,Owens Group,4
3,2840,Pre Sold,4500,427,7/30/2024,9/24/2024,Sean Carr,ashley38@example.org,18,Male,Penaview,Not Checked In,Artificial intelligence,Seminar,8/11/2024,2:17:31,Especially will million final maintain course production. Ball happy approach in well sea.,Duke Inc,8
3,6531,General,5500,197,7/15/2024,7/31/2024,Katherine Robertson,jesuspowers@example.com,40,Male,North Donnashire,Checked In,Artificial intelligence,Seminar,8/11/2024,2:17:31,Especially will million final maintain course production. Ball happy approach in well sea.,Duke Inc,8
7,8138,Pre Sold,3000,400,8/23/2024,9/2/2024,Miss Colleen Roberts,lgomez@example.org,56,Male,South Alexistown,Not Checked In,Mathletes,Workshop,9/17/2024,0:33:27,Human dream to dog woman. Energy cause best feeling guess week improve.,"Blanchard, Montoya and Allen",7
2,4970,Pre Sold,5500,177,8/13/2024,9/9/2024,Albert Jones,zelliott@example.org,46,Male,Gutierrezborough,Not Checked In,Machine learning,Workshop,8/4/2024,17:10:10,Method clear way specific seek charge always. Style identify follow admit seven also white.,Fischer-Green,4
3,5849,General,5500,93,7/11/2024,10/2/2024,Katie Barker,stevencampbell@example.org,67,Male,East Kiara,Checked In,Artificial intelligence,Seminar,8/11/2024,2:17:31,Especially will million final maintain course production. Ball happy approach in well sea.,Duke Inc,8
4,3212,General,6000,381,8/24/2024,9/27/2024,Courtney Meza,kaitlyn92@example.org,44,Male,Emilyborough,Not Checked In,Victory Dash,Sports,8/19/2024,0:31:51,Red policy red energy day manager. South attention seem close.,Graham-Espinoza,8
6,8631,General,7500,162,8/1/2024,9/3/2024,Ana Shelton,matthewjohnson@example.org,47,Female,Port Don,Checked In,Google IO,Conference,9/17/2024,16:40:27,Score might value surface. Option onto act part run.,"Dominguez, Walters and Cooper",7
5,8327,Pre Sold,2000,168,7/13/2024,9/14/2024,John Roberts,rjennings@example.org,29,Female,North Luisville,Checked In,Green Fiesta,Concert,8/30/2024,10:20:35,Music already official follow treatment yes. Exactly pressure general break.,White Group,4
3,9473,General,5500,429,8/23/2024,9/17/2024,Walter Osborne,veronica58@example.org,24,Female,Walkerview,Not Checked In,Artificial intelligence,Seminar,8/11/2024,2:17:31,Especially will million final maintain course production. Ball happy approach in well sea.,Duke Inc,8
8,4024,General,8500,64,8/1/2024,8/1/2024,Ryan Malone,susan60@example.org,22,Male,South Michellemouth,Checked In,Future Shapers,Seminar,8/11/2024,19:58:35,Rise say every only. Today recognize positive rest protect.,Owens Group,4
7,4739,General,4000,257,7/13/2024,9/3/2024,Andrea Gonzalez,icraig@example.net,44,Male,Alexanderhaven,Not Checked In,Mathletes,Workshop,9/17/2024,0:33:27,Human dream to dog woman. Energy cause best feeling guess week improve.,"Blanchard, Montoya and Allen",7
6,3924,Pre Sold,6500,476,8/26/2024,9/13/2024,Lisa Reyes MD,charlenecain@example.org,63,Female,Mcculloughmouth,Checked In,Google IO,Conference,9/17/2024,16:40:27,Score might value surface. Option onto act part run.,"Dominguez, Walters and Cooper",7
7,6933,General,4000,235,9/1/2024,9/7/2024,Mr. Devin Mahoney DVM,barrettbrittney@example.net,49,Female,West Brandon,Checked In,Mathletes,Workshop,9/17/2024,0:33:27,Human dream to dog woman. Energy cause best feeling guess week improve.,"Blanchard, Montoya and Allen",7
4,7468,General,6000,177,8/23/2024,9/1/2024,Brandon White,bgrant@example.com,61,Female,Copelandmouth,Not Checked In,Victory Dash,Sports,8/19/2024,0:31:51,Red policy red energy day manager. South attention seem close.,Graham-Espinoza,8
4,5464,VIP,9000,47,7/26/2024,8/29/2024,Adriana Reid,wrightlance@example.net,61,Male,North Juliechester,Checked In,Victory Dash,Sports,8/19/2024,0:31:51,Red policy red energy day manager. South attention seem close.,Graham-Espinoza,8
1,4363,General,5000,421,7/8/2024,9/23/2024,Cynthia Green,kellyconner@example.net,47,Male,Elizabethberg,Checked In,Astral Affair,Conference,8/25/2024,10:24:12,Likely charge admit result recent dog. Although manager staff require democratic.,"Oneal, Colon and White",5
6,8729,General,7500,350,7/16/2024,7/19/2024,Robert Russell,joelpatterson@example.net,48,Male,West Lynnborough,Not Checked In,Google IO,Conference,9/17/2024,16:40:27,Score might value surface. Option onto act part run.,"Dominguez, Walters and Cooper",7
8,7184,VIP,10000,202,7/17/2024,8/22/2024,Keith Robinson,bnichols@example.net,68,Male,New Dustintown,Checked In,Future Shapers,Seminar,8/11/2024,19:58:35,Rise say every only. Today recognize positive rest protect.,Owens Group,4
1,5023,General,5000,270,7/27/2024,8/27/2024,Keith Mcpherson,christiethompson@example.com,67,Male,Lindachester,Checked In,Astral Affair,Conference,8/25/2024,10:24:12,Likely charge admit result recent dog. Although manager staff require democratic.,"Oneal, Colon and White",5
1,8275,Pre Sold,4000,396,8/24/2024,9/27/2024,Robert Hensley,gherrera@example.net,53,Female,Lake Dennis,Checked In,Astral Affair,Conference,8/25/2024,10:24:12,Likely charge admit result recent dog. Although manager staff require democratic.,"Oneal, Colon and White",5
5,5271,General,3000,257,8/15/2024,8/21/2024,Cynthia Mueller,xharvey@example.com,41,Female,New Jamesfurt,Checked In,Green Fiesta,Concert,8/30/2024,10:20:35,Music already official follow treatment yes. Exactly pressure general break.,White Group,4
3,4980,General,5500,464,7/10/2024,8/10/2024,Eric Gomez,aflores@example.com,63,Male,West Ryan,Not Checked In,Artificial intelligence,Seminar,8/11/2024,2:17:31,Especially will million final maintain course production. Ball happy approach in well sea.,Duke Inc,8
6,9446,General,7500,179,9/1/2024,9/5/2024,Rachel Buchanan,nicholasleonard@example.com,55,Female,New Debra,Checked In,Google IO,Conference,9/17/2024,16:40:27,Score might value surface. Option onto act part run.,"Dominguez, Walters and Cooper",7
2,5867,General,6500,238,7/21/2024,9/20/2024,Jennifer Allen,michellesalazar@example.com,47,Female,Annfurt,Not Checked In,Machine learning,Workshop,8/4/2024,17:10:10,Method clear way specific seek charge always. Style identify follow admit seven also white.,Fischer-Green,4
8,6457,Pre Sold,7500,397,7/19/2024,9/26/2024,Cynthia Novak,walkermisty@example.org,48,Male,Deannatown,Checked In,Future Shapers,Seminar,8/11/2024,19:58:35,Rise say every only. Today recognize positive rest protect.,Owens Group,4
1,3243,General,5000,346,7/14/2024,8/21/2024,George Howe,wolftiffany@example.net,52,Male,Lake Michaelton,Not Checked In,Astral Affair,Conference,8/25/2024,10:24:12,Likely charge admit result recent dog. Although manager staff require democratic.,"Oneal, Colon and White",5
5,6036,General,3000,73,8/8/2024,9/26/2024,Dawn Myers,davidjones@example.org,55,Male,East Christopher,Checked In,Green Fiesta,Concert,8/30/2024,10:20:35,Music already official follow treatment yes. Exactly pressure general break.,White Group,4
5,3730,VIP,5000,252,8/5/2024,9/16/2024,Philip Johnson,allison56@example.com,54,Female,Ashleyborough,Checked In,Green Fiesta,Concert,8/30/2024,10:20:35,Music already official follow treatment yes. Exactly pressure general break.,White Group,4
2,6722,Pre Sold,5500,171,8/8/2024,9/30/2024,Jason Lynch,cochrankatherine@example.net,41,Male,Lake Karatown,Checked In,Machine learning,Workshop,8/4/2024,17:10:10,Method clear way specific seek charge always. Style identify follow admit seven also white.,Fischer-Green,4
1,8712,Pre Sold,4000,40,8/31/2024,9/10/2024,Jackie Bennett,rdavidson@example.com,29,Female,East Lisachester,Not Checked In,Astral Affair,Conference,8/25/2024,10:24:12,Likely charge admit result recent dog. Although manager staff require democratic.,"Oneal, Colon and White",5
1,5120,General,5000,28,8/1/2024,8/25/2024,Bobby Robinson,zgray@example.org,43,Female,Taylorberg,Not Checked In,Astral Affair,Conference,8/25/2024,10:24:12,Likely charge admit result recent dog. Although manager staff require democratic.,"Oneal, Colon and White",5
3,6792,General,5500,391,8/27/2024,8/27/2024,James Taylor,jonathan78@example.com,60,Male,Danielleside,Checked In,Artificial intelligence,Seminar,8/11/2024,2:17:31,Especially will million final maintain course production. Ball happy approach in well sea.,Duke Inc,8
5,3259,General,3000,277,9/2/2024,9/26/2024,Phillip Myers,peterruiz@example.org,25,Male,West Brian,Checked In,Green Fiesta,Concert,8/30/2024,10:20:35,Music already official follow treatment yes. Exactly pressure general break.,White Group,4
